metric,source,sum_sq,df,f_value,p_value,effect_coded_coefficient,effect_contrast,partial_eta_squared,residual_df,n,note,p_holm
duration_total_s,Scaffold (S),1762042.0416666684,1,7.930346522445627,0.012422001478549724,-270.95833333333326,-541.9166666666665,0.33139288288229785,16,24,,0.06211000739274862
duration_total_s,Repair (R),2375733.3749999986,1,10.692360603875622,0.004814873792038503,-314.6249999999999,-629.2499999999998,0.40057755709785875,16,24,,0.02888924275223102
duration_total_s,Planner (P),18174301.041666664,1,81.79629183383949,1.0905924630802023e-07,870.2083333333335,1740.416666666667,0.8363946147653046,16,24,,7.634147241561415e-07
duration_total_s,S x R,1662687.0416666665,1,7.483183764630651,0.014663288023140606,-263.2083333333333,-526.4166666666666,0.3186613808261168,16,24,,0.06211000739274862
duration_total_s,S x P,295038.37500000047,1,1.3278664730134075,0.2661121853172538,-110.87499999999966,-221.74999999999932,0.07663185049823878,16,24,,0.5835382866588541
duration_total_s,R x P,20358.374999999534,1,0.0916260591780092,0.7660198947419125,29.125000000000206,58.25000000000041,0.005694021153676351,16,24,,0.7660198947419125
duration_total_s,S x R x P,407422.041666667,1,1.8336667882469113,0.19451276221961802,-130.2916666666667,-260.5833333333334,0.10282051414436934,16,24,,0.5835382866588541
cost,Scaffold (S),4.411837499999998,1,11.71880602961683,0.003484730143691679,-0.4287499999999999,-0.8574999999999998,0.4227745602424429,16,24,,0.020908380862150074
cost,Repair (R),3.993504166666667,1,10.607621134648157,0.0049482732490842875,-0.40791666666666654,-0.8158333333333331,0.39866852737297237,16,24,,0.024741366245421437
cost,Planner (P),28.62350416666667,1,76.03029196272438,1.7829190456930542e-07,1.0920833333333329,2.1841666666666657,0.8261442003630655,16,24,,1.248043331985138e-06
cost,S x R,2.387704166666663,1,6.342264869291884,0.022813758644135772,-0.31541666666666623,-0.6308333333333325,0.28386848452454566,16,24,,0.09125503457654309
cost,S x P,1.3680374999999971,1,3.6338070256989083,0.07474199725305346,-0.2387499999999997,-0.4774999999999994,0.18507908430303802,16,24,,0.22422599175916036
cost,R x P,1.3020041666666664,1,3.458408039489118,0.08141784363453962,-0.23291666666666638,-0.46583333333333277,0.17773334963839718,16,24,,0.22422599175916036
cost,S x R x P,0.01550416666666532,1,0.041182460101375426,0.8417443558358388,-0.025416666666666393,-0.050833333333332786,0.002567295784073711,16,24,,0.8417443558358388
total_tokens,Scaffold (S),3870971800740.376,1,11.911750192620655,0.0032842642337615304,-401609.87500000006,-803219.7500000001,0.4267647177413439,16,24,,0.01642132116880765
total_tokens,Repair (R),4379551028910.042,1,13.476749637451071,0.0020647506696336157,-427178.2916666666,-854356.5833333333,0.4571993114304729,16,24,,0.012388504017801694
total_tokens,Planner (P),12002172686075.04,1,36.933072666113546,1.601222773211644e-05,707170.7916666665,1414341.583333333,0.6977315089769424,16,24,,0.00011208559412481508
total_tokens,S x R,1608680845863.373,1,4.950230939918797,0.040822189612253694,-258898.37499999988,-517796.74999999977,0.23628526836363287,16,24,,0.16328875844901478
total_tokens,S x P,888042635817.041,1,2.7326838279281134,0.11779785444511856,-192358.4583333332,-384716.9166666664,0.14587785994946542,16,24,,0.35339356333535565
total_tokens,R x P,843139985297.041,1,2.5945094408456533,0.1267836616470901,-187432.20833333302,-374864.41666666605,0.1395309432120011,16,24,,0.35339356333535565
total_tokens,S x R x P,97151175795.37598,1,0.2989534919299993,0.5920836523360907,-63623.62499999988,-127247.24999999977,0.018341882629336805,16,24,,0.5920836523360907
visual_quality_score,Scaffold (S),0.3083876788683963,1,15.882303092595679,0.0010645110231447198,0.11335557604068942,0.22671115208137885,0.4981541969056863,16,24,,0.007451577162013039
visual_quality_score,Repair (R),0.0009925377917569533,1,0.05111678293174191,0.8239941537534073,0.006430842971431289,0.012861685942862577,0.0031846246976470764,16,24,,1.0
visual_quality_score,Planner (P),0.026086781706679663,1,1.3434978183829325,0.26342498537650955,0.03296891320286914,0.06593782640573828,0.07746406361921503,16,24,,1.0
visual_quality_score,S x R,0.0027986388882546565,1,0.1441329667679554,0.7091981804791702,0.010798608876947063,0.021597217753894126,0.008927885261143926,16,24,,1.0
visual_quality_score,S x P,0.0016042389402473045,1,0.08262006178536492,0.7774671663539222,-0.00817577453070797,-0.01635154906141594,0.005137226488467645,16,24,,1.0
visual_quality_score,R x P,0.012231391715530338,1,0.6299300645964451,0.4389938815071601,0.022575236908622537,0.045150473817245074,0.037879297276030455,16,24,,1.0
visual_quality_score,S x R x P,0.014513434675561043,1,0.7474577754781725,0.4000589303180171,0.024591186323865123,0.049182372647730246,0.044631118674776364,16,24,,1.0
