metric,factor_a,factor_b,level_a,level_b,n,mean,std
errors,Scaffold,Repair,Off,Off,6,32.166666666666664,36.52077034601908
errors,Scaffold,Repair,Off,On,6,28.166666666666668,21.885307095553095
errors,Scaffold,Repair,On,Off,6,35.333333333333336,36.96845502136472
errors,Scaffold,Repair,On,On,6,11.5,6.284902544988268
errors,Scaffold,Planner,Off,LLM,6,39.5,34.016172624209204
errors,Scaffold,Planner,Off,Rule,6,20.833333333333332,21.35805858842668
errors,Scaffold,Planner,On,LLM,6,36.166666666666664,36.295546099579035
errors,Scaffold,Planner,On,Rule,6,10.666666666666666,6.282250127674531
errors,Repair,Planner,Off,LLM,6,52.5,41.936857297608746
errors,Repair,Planner,Off,Rule,6,15.0,10.198039027185569
errors,Repair,Planner,On,LLM,6,23.166666666666668,14.358505028959897
errors,Repair,Planner,On,Rule,6,16.5,21.26734586167254
duration_total_s,Scaffold,Repair,Off,Off,6,3892.6666666666665,997.3289661223455
duration_total_s,Scaffold,Repair,Off,On,6,3789.8333333333335,1343.6125061440393
duration_total_s,Scaffold,Repair,On,Off,6,3877.1666666666665,1038.5802649129564
duration_total_s,Scaffold,Repair,On,On,6,2721.5,782.1909613387257
duration_total_s,Scaffold,Planner,Off,LLM,6,4822.333333333333,477.71944346725803
duration_total_s,Scaffold,Planner,Off,Rule,6,2860.1666666666665,517.7159130900524
duration_total_s,Scaffold,Planner,On,LLM,6,4058.6666666666665,904.7416574175562
duration_total_s,Scaffold,Planner,On,Rule,6,2540.0,538.0003717470835
duration_total_s,Repair,Planner,Off,LLM,6,4726.0,549.8636194548609
duration_total_s,Repair,Planner,Off,Rule,6,3043.8333333333335,270.7348641506422
duration_total_s,Repair,Planner,On,LLM,6,4155.0,948.003586491106
duration_total_s,Repair,Planner,On,Rule,6,2356.3333333333335,511.9443980225458
cost,Scaffold,Repair,Off,Off,6,4.958333333333333,1.7121146768445934
cost,Scaffold,Repair,Off,On,6,4.773333333333333,1.3396367666896376
cost,Scaffold,Repair,On,Off,6,4.7316666666666665,1.3356858413065054
cost,Scaffold,Repair,On,On,6,3.285,0.9780132923432077
cost,Scaffold,Planner,Off,LLM,6,6.196666666666666,0.5162428369156001
cost,Scaffold,Planner,Off,Rule,6,3.535,0.47886323726091157
cost,Scaffold,Planner,On,LLM,6,4.861666666666667,1.3129419890713632
cost,Scaffold,Planner,On,Rule,6,3.155,0.7244515166662294
cost,Repair,Planner,Off,LLM,6,6.170000000000001,0.5727826813024288
cost,Repair,Planner,Off,Rule,6,3.52,0.4523715287239019
cost,Repair,Planner,On,LLM,6,4.888333333333333,1.3213541034358152
cost,Repair,Planner,On,Rule,6,3.17,0.7500933275266485
total_tokens,Scaffold,Repair,Off,Off,6,3809470.8333333335,1284900.5598540949
total_tokens,Scaffold,Repair,Off,On,6,3472911.0,1066546.6506001507
total_tokens,Scaffold,Repair,On,Off,6,3524047.8333333335,920499.6250433602
total_tokens,Scaffold,Repair,On,On,6,2151894.5,412549.7645214454
total_tokens,Scaffold,Planner,Off,LLM,6,4540720.166666667,889231.2934532649
total_tokens,Scaffold,Planner,Off,Rule,6,2741661.6666666665,351789.0480925559
total_tokens,Scaffold,Planner,On,LLM,6,3352783.5,1117706.4402881018
total_tokens,Scaffold,Planner,On,Rule,6,2323158.8333333335,511718.5464997011
total_tokens,Repair,Planner,Off,LLM,6,4561362.333333333,765633.9527551444
total_tokens,Repair,Planner,Off,Rule,6,2772156.3333333335,200545.67036629506
