job_name,config,run,summary_task_monitor_openable,summary_intensity_profiler_openable,summary_object_track_editor_openable,task_monitor_openable,intensity_profiler_openable,object_track_editor_openable,task_monitor_compilable,intensity_profiler_compilable,object_track_editor_compilable,task_monitor_compilable_hi,intensity_profiler_compilable_hi,object_track_editor_compilable_hi
ConfigurationSelectionExperiment_C1_1,C1,1.0,True,True,False,True,True,False,True,True,False,True,True,False
ConfigurationSelectionExperiment_C1_2,C1,2.0,True,True,False,True,True,False,True,True,False,True,True,False
ConfigurationSelectionExperiment_C1_3,C1,3.0,True,True,True,True,True,True,True,True,False,True,True,True
ConfigurationSelectionExperiment_C2_1,C2,1.0,True,True,True,True,True,True,False,False,False,True,True,True
ConfigurationSelectionExperiment_C2_2,C2,2.0,True,False,False,True,False,False,True,False,False,True,False,False
ConfigurationSelectionExperiment_C2_3,C2,3.0,True,True,False,True,True,False,True,True,False,True,True,False
ConfigurationSelectionExperiment_C3_1,C3,1.0,True,True,True,True,True,True,True,True,False,True,True,True
ConfigurationSelectionExperiment_C3_2,C3,2.0,True,False,False,True,False,False,True,True,False,True,True,True
ConfigurationSelectionExperiment_C3_3,C3,3.0,True,True,False,True,True,False,True,True,False,True,True,True
ConfigurationSelectionExperiment_C4_1,C4,1.0,True,True,True,True,True,True,True,True,False,True,True,True
ConfigurationSelectionExperiment_C4_2,C4,2.0,True,False,True,True,False,True,True,False,False,True,True,True
ConfigurationSelectionExperiment_C4_3,C4,3.0,True,True,True,True,True,True,True,True,False,True,True,True
ConfigurationSelectionExperiment_C5_1,C5,1.0,True,False,True,True,False,True,True,True,False,True,True,True
ConfigurationSelectionExperiment_C5_2,C5,2.0,True,False,True,True,False,True,True,True,False,True,True,True
ConfigurationSelectionExperiment_C5_3,C5,3.0,True,False,False,True,False,False,True,True,False,True,True,False
ConfigurationSelectionExperiment_C6_1,C6,1.0,True,False,False,True,False,False,True,False,False,True,False,False
ConfigurationSelectionExperiment_C6_2,C6,2.0,True,True,False,True,True,False,True,True,False,True,True,True
ConfigurationSelectionExperiment_C6_3,C6,3.0,True,False,False,True,False,False,True,False,False,True,False,False
ConfigurationSelectionExperiment_C7_1,C7,1.0,True,False,False,True,False,False,True,True,False,True,True,False
ConfigurationSelectionExperiment_C7_2,C7,2.0,True,False,False,True,False,False,True,True,False,True,True,True
ConfigurationSelectionExperiment_C7_3,C7,3.0,True,False,False,True,False,False,True,True,False,True,True,True
ConfigurationSelectionExperiment_C8_1,C8,1.0,True,False,False,True,False,False,True,True,False,True,True,True
ConfigurationSelectionExperiment_C8_2,C8,2.0,True,False,False,True,False,False,True,True,True,True,True,True
ConfigurationSelectionExperiment_C8_3,C8,3.0,True,False,False,True,False,False,True,True,False,True,True,True
