metric,source,f_value,p_value,effect_df,residual_df,effect_coded_coefficient,effect_contrast,partial_eta_squared,n,permutations,note,p_holm,p_holm_h4
openable_dialog_count,Scaffold (S),14.399999999999984,0.0022,1,16,0.5000000000000002,1.0000000000000004,0.47368421052631554,24,4999,,0.0154,
openable_dialog_count,Repair (R),0.0,1.0,1,16,1.6653345369377348e-16,3.3306690738754696e-16,0.0,24,4999,,1.0,
openable_dialog_count,Planner (P),0.3999999999999986,0.5346,1,16,0.08333333333333343,0.16666666666666685,0.02439024390243894,24,4999,,1.0,
openable_dialog_count,S x R,0.4000000000000007,0.5362,1,16,-0.08333333333333322,-0.16666666666666644,0.024390243902439067,24,4999,,1.0,0.645
openable_dialog_count,S x P,1.5999999999999963,0.2226,1,16,-0.16666666666666646,-0.3333333333333329,0.09090909090909072,24,4999,,1.0,
openable_dialog_count,R x P,1.5999999999999963,0.215,1,16,0.16666666666666677,0.33333333333333354,0.09090909090909072,24,4999,,1.0,0.645
openable_dialog_count,S x R x P,0.4000000000000028,0.5334,1,16,0.08333333333333329,0.16666666666666657,0.024390243902439192,24,4999,,1.0,
partial_build_count,Scaffold (S),1.5,0.2392,1,16,-0.125,-0.25,0.08571428571428572,24,4999,,0.9568,
partial_build_count,Repair (R),4.166666666666664,0.0596,1,16,0.2083333333333334,0.4166666666666668,0.20661157024793378,24,4999,,0.406,
partial_build_count,Planner (P),4.166666666666668,0.058,1,16,-0.20833333333333315,-0.4166666666666663,0.20661157024793392,24,4999,,0.406,
partial_build_count,S x R,1.5,0.252,1,16,0.12500000000000014,0.2500000000000003,0.08571428571428572,24,4999,,0.9568,0.645
partial_build_count,S x P,0.16666666666666785,0.685,1,16,0.041666666666666734,0.08333333333333347,0.010309278350515537,24,4999,,1.0,
partial_build_count,R x P,4.166666666666668,0.0592,1,16,0.20833333333333337,0.41666666666666674,0.20661157024793392,24,4999,,0.406,0.2368
partial_build_count,S x R x P,0.16666666666666785,0.6852,1,16,-0.041666666666666505,-0.08333333333333301,0.010309278350515537,24,4999,,1.0,
