config,Scaffold,Repair,Planner,metric,n,mean,std,cv
C1,On,On,LLM,errors,3,15.0,4.358898943540674,0.2905932629027116
C1,On,On,LLM,duration_total_s,3,3379.6666666666665,477.69271852659983,0.14134314583093002
C1,On,On,LLM,cost,3,3.8800000000000003,1.0129659421717987,0.26107369643603057
C1,On,On,LLM,total_tokens,3,2415651.0,427750.4586987605,0.17707460999074803
C1,On,On,LLM,plan_steps,3,24.333333333333332,4.041451884327381,0.1660870637394814
C2,On,Off,LLM,errors,3,57.333333333333336,43.93555887129847,0.7663178872900895
C2,On,Off,LLM,duration_total_s,3,4737.666666666667,659.606195645048,0.13922596122811118
C2,On,Off,LLM,cost,3,5.843333333333334,0.6264449962553243,0.10720678772196081
C2,On,Off,LLM,total_tokens,3,4289916.0,552762.873272075,0.1288516775787859
C2,On,Off,LLM,plan_steps,3,25.0,2.0,0.08
C3,On,On,Rule,errors,3,8.0,6.557438524302,0.81967981553775
C3,On,On,Rule,duration_total_s,3,2063.3333333333335,42.61846235299126,0.020655151382709815
C3,On,On,Rule,cost,3,2.69,0.5505451843400321,0.20466363730112716
C3,On,On,Rule,total_tokens,3,1888138.0,183903.07698078355,0.09739917155461282
C3,On,On,Rule,plan_steps,3,18.0,0.0,0.0
C4,On,Off,Rule,errors,3,13.333333333333334,5.859465277082315,0.43945989578117356
C4,On,Off,Rule,duration_total_s,3,3016.6666666666665,200.40292745699435,0.06643190965425227
C4,On,Off,Rule,cost,3,3.6199999999999997,0.6002499479383568,0.16581490274540245
C4,On,Off,Rule,total_tokens,3,2758179.6666666665,230412.58440964838,0.08353791712492323
C4,On,Off,Rule,plan_steps,3,18.0,0.0,0.0
C5,Off,On,LLM,errors,3,31.333333333333332,17.214335111567145,0.5493936737734195
C5,Off,On,LLM,duration_total_s,3,4930.333333333333,463.8548623581878,0.09408184619529197
C5,Off,On,LLM,cost,3,5.896666666666667,0.5372460640463861,0.09111012957259232
C5,Off,On,LLM,total_tokens,3,4248631.666666667,884302.7837366188,0.20813825558816043
C5,Off,On,LLM,plan_steps,3,26.0,0.0,0.0
C6,Off,Off,LLM,errors,3,47.666666666666664,48.95235779136009,1.0269725410774846
C6,Off,Off,LLM,duration_total_s,3,4714.333333333333,566.0267955965807,0.12006507719647473
C6,Off,Off,LLM,cost,3,6.496666666666667,0.3280751946327751,0.05049900379160212
C6,Off,Off,LLM,total_tokens,3,4832808.666666667,968964.5217036242,0.2004971825983643
C6,Off,Off,LLM,plan_steps,3,24.0,1.0,0.041666666666666664
C7,Off,On,Rule,errors,3,25.0,29.512709126747414,1.1805083650698966
C7,Off,On,Rule,duration_total_s,3,2649.3333333333335,629.1695584922504,0.23748221885716547
C7,Off,On,Rule,cost,3,3.65,0.642105910267146,0.17591942747045097
C7,Off,On,Rule,total_tokens,3,2697190.3333333335,506542.5188079805,0.187803772150543
C7,Off,On,Rule,plan_steps,3,18.0,0.0,0.0
C8,Off,Off,Rule,errors,3,16.666666666666668,14.742229591663989,0.8845337754998392
C8,Off,Off,Rule,duration_total_s,3,3071.0,375.3238601528019,0.12221551942455289
C8,Off,Off,Rule,cost,3,3.42,0.34828149534535996,0.10183669454542689
C8,Off,Off,Rule,total_tokens,3,2786133.0,216495.75993307584,0.07770474702143647
C8,Off,Off,Rule,plan_steps,3,18.0,0.0,0.0
