run_id,model,run_number,component,compilable_before_hi,compilable_after_hi
MigrationExperiment_Lovelace,gpt-56-terra,1,shareuiprovider,True,True
MigrationExperiment_Lovelace,gpt-56-terra,1,objectstoreui,False,True
MigrationExperiment_Lovelace,gpt-56-terra,1,datatransformationui,False,True
MigrationExperiment_Lovelace,gpt-56-terra,1,analysisuics,False,True
MigrationExperiment_Turing,gpt-56-terra,2,shareuiprovider,True,True
MigrationExperiment_Turing,gpt-56-terra,2,objectstoreui,False,True
MigrationExperiment_Turing,gpt-56-terra,2,datatransformationui,False,True
MigrationExperiment_Turing,gpt-56-terra,2,analysisuics,False,True
MigrationExperiment_Hopper,gpt-56-terra,3,shareuiprovider,True,True
MigrationExperiment_Hopper,gpt-56-terra,3,objectstoreui,False,True
MigrationExperiment_Hopper,gpt-56-terra,3,datatransformationui,False,True
MigrationExperiment_Hopper,gpt-56-terra,3,analysisuics,False,True
MigrationExperiment_BernersLee,claude-sonette-5,1,shareuiprovider,True,True
MigrationExperiment_BernersLee,claude-sonette-5,1,objectstoreui,False,True
MigrationExperiment_BernersLee,claude-sonette-5,1,datatransformationui,False,True
MigrationExperiment_BernersLee,claude-sonette-5,1,analysisuics,False,True
MigrationExperiment_Thompson,claude-sonette-5,2,shareuiprovider,True,True
MigrationExperiment_Thompson,claude-sonette-5,2,objectstoreui,False,True
MigrationExperiment_Thompson,claude-sonette-5,2,datatransformationui,False,True
MigrationExperiment_Thompson,claude-sonette-5,2,analysisuics,False,True
MigrationExperiment_Lamport,claude-sonette-5,3,shareuiprovider,True,True
MigrationExperiment_Lamport,claude-sonette-5,3,objectstoreui,False,True
MigrationExperiment_Lamport,claude-sonette-5,3,datatransformationui,False,True
MigrationExperiment_Lamport,claude-sonette-5,3,analysisuics,False,True
