model,model_label,dialogue_name,difficulty,evaluated_runs,task_ratings,task_outcome_mean,task_outcome_sd,task_successful_pct,task_partially_successful_pct,task_failed_pct,interaction_quality_mean,interaction_quality_sd,quality_rating_mean,overall_impression_mean,overall_impression_sd
claude-sonette-5,Claude Sonnet 5,Copy or Move Objects,Easy,3,15,2.466666666666667,0.5163977794943223,46.666666666666664,53.333333333333336,0.0,3.0666666666666664,0.8082903768654759,3.066666666666667,4.0,0.0
gpt-56-terra,GPT-56 Terra,Copy or Move Objects,Easy,3,15,2.2666666666666666,0.4577377082170635,26.666666666666668,73.33333333333333,0.0,3.3333333333333335,0.8082903768654761,3.3333333333333335,4.0,
claude-sonette-5,Claude Sonnet 5,Drift Correction,Easy,3,15,2.3333333333333335,0.4879500364742666,33.333333333333336,66.66666666666667,0.0,2.733333333333333,0.3055050463303894,2.7333333333333334,3.0,1.7320508075688772
gpt-56-terra,GPT-56 Terra,Drift Correction,Easy,3,15,2.066666666666667,0.45773770821706333,13.333333333333334,80.0,6.666666666666667,3.2000000000000006,1.0392304845413265,3.2,2.5,2.1213203435596424
claude-sonette-5,Claude Sonnet 5,Workspace Layout Editor,Easy,3,15,2.466666666666667,0.5163977794943223,46.666666666666664,53.333333333333336,0.0,3.4666666666666663,0.9451631252505218,3.466666666666667,4.0,0.0
gpt-56-terra,GPT-56 Terra,Workspace Layout Editor,Easy,3,15,2.2,0.560611910581388,26.666666666666668,66.66666666666667,6.666666666666667,3.0,0.5291502622129182,3.0,3.5,0.7071067811865476
claude-sonette-5,Claude Sonnet 5,Batch Analysis,Medium,3,15,2.6666666666666665,0.4879500364742666,66.66666666666667,33.333333333333336,0.0,4.2,0.3999999999999999,4.2,4.0,0.0
gpt-56-terra,GPT-56 Terra,Batch Analysis,Medium,3,15,2.2,0.4140393356054125,20.0,80.0,0.0,3.4,0.34641016151377524,3.4,4.0,0.0
claude-sonette-5,Claude Sonnet 5,Custom Features,Hard,3,15,2.4,0.5070925528371101,40.0,60.0,0.0,3.0666666666666664,0.11547005383792526,3.066666666666667,4.0,0.0
gpt-56-terra,GPT-56 Terra,Custom Features,Hard,3,15,2.066666666666667,0.5936168397046636,20.0,66.66666666666667,13.333333333333334,3.1999999999999997,0.529150262212918,3.2,4.0,0.0
