response_id,run_id,model,model_label,model_run,dialogue_name,interaction_category,score,outcome
4,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Custom Features,Input fields,3.0,Successful
4,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Custom Features,Buttons,2.0,Partially successful
4,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Custom Features,Custom controls,1.0,Failed
4,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Custom Features,General window behaviour,2.0,Partially successful
4,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Custom Features,Labels,2.0,Partially successful
5,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Drift Correction,Input fields,1.0,Failed
5,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Drift Correction,Buttons,2.0,Partially successful
5,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Drift Correction,Custom controls,2.0,Partially successful
5,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Drift Correction,General window behaviour,2.0,Partially successful
5,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Drift Correction,Labels,2.0,Partially successful
6,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Copy or move Objects,Input fields,2.0,Partially successful
6,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Copy or move Objects,Buttons,3.0,Successful
6,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Copy or move Objects,Custom controls,2.0,Partially successful
6,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Copy or move Objects,General window behaviour,2.0,Partially successful
6,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Copy or move Objects,Labels,2.0,Partially successful
7,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Batch Analysis,Input fields,2.0,Partially successful
7,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Batch Analysis,Buttons,2.0,Partially successful
7,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Batch Analysis,Custom controls,2.0,Partially successful
7,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Batch Analysis,General window behaviour,3.0,Successful
7,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Batch Analysis,Labels,2.0,Partially successful
8,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Workspace Layout Editor,Input fields,3.0,Successful
8,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Workspace Layout Editor,Buttons,2.0,Partially successful
8,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Workspace Layout Editor,Custom controls,3.0,Successful
8,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Workspace Layout Editor,General window behaviour,2.0,Partially successful
8,MigrationExperiment_Lovelace,gpt-56-terra,GPT-56 Terra,1,Workspace Layout Editor,Labels,2.0,Partially successful
9,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Custom Features,Input fields,2.0,Partially successful
9,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Custom Features,Buttons,2.0,Partially successful
9,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Custom Features,Custom controls,2.0,Partially successful
9,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Custom Features,General window behaviour,3.0,Successful
9,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Custom Features,Labels,2.0,Partially successful
10,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Drift Correction,Input fields,2.0,Partially successful
10,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Drift Correction,Buttons,2.0,Partially successful
10,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Drift Correction,Custom controls,2.0,Partially successful
10,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Drift Correction,General window behaviour,3.0,Successful
10,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Drift Correction,Labels,3.0,Successful
11,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Copy or move Objects,Input fields,3.0,Successful
11,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Copy or move Objects,Buttons,2.0,Partially successful
11,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Copy or move Objects,Custom controls,3.0,Successful
11,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Copy or move Objects,General window behaviour,2.0,Partially successful
11,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Copy or move Objects,Labels,2.0,Partially successful
12,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Batch Analysis,Input fields,2.0,Partially successful
12,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Batch Analysis,Buttons,2.0,Partially successful
12,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Batch Analysis,Custom controls,2.0,Partially successful
12,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Batch Analysis,General window behaviour,3.0,Successful
12,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Batch Analysis,Labels,2.0,Partially successful
13,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Workspace Layout Editor,Input fields,3.0,Successful
13,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Workspace Layout Editor,Buttons,2.0,Partially successful
13,MigrationExperiment_Turing,gpt-56-terra,GPT-56 Terra,2,Workspace Layout Editor,Custom controls,1.0,Failed
